"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-09-21T11:32:31","false","",""
"2","1","file:/data/krp-0190_b/","/data/krp-0190_b","krp-0190_b","","Done","","Folder","","2026-09-23T06:40:13","false","",""
"3","1","file:/data/krp-0190_k/","/data/krp-0190_k","krp-0190_k","","Done","","Folder","","2026-09-23T06:40:28","false","",""
"4","2","file:/data/krp-0190_b/krp-0190_b01-0001.TIF","/data/krp-0190_b/krp-0190_b01-0001.TIF","krp-0190_b01-0001.TIF","Signature","Done","22976300","File","tif","2026-09-23T06:40:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"5","2","file:/data/krp-0190_b/krp-0190_b01-0002.TIF","/data/krp-0190_b/krp-0190_b01-0002.TIF","krp-0190_b01-0002.TIF","Signature","Done","26562956","File","tif","2026-09-23T06:40:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","2","file:/data/krp-0190_b/krp-0190_b01-0003.TIF","/data/krp-0190_b/krp-0190_b01-0003.TIF","krp-0190_b01-0003.TIF","Signature","Done","25849770","File","tif","2026-09-23T06:40:10","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/krp-0190_b/krp-0190_b01-0004.TIF","/data/krp-0190_b/krp-0190_b01-0004.TIF","krp-0190_b01-0004.TIF","Signature","Done","24795092","File","tif","2026-09-23T06:40:12","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","3","file:/data/krp-0190_k/krp-0190_k-0001.TIF","/data/krp-0190_k/krp-0190_k-0001.TIF","krp-0190_k-0001.TIF","Signature","Done","19862584","File","tif","2026-09-23T06:40:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","1","file:/data/krp-0190_r/","/data/krp-0190_r","krp-0190_r","","Done","","Folder","","2026-09-23T06:40:44","false","",""
"10","3","file:/data/krp-0190_k/krp-0190_k-0002.TIF","/data/krp-0190_k/krp-0190_k-0002.TIF","krp-0190_k-0002.TIF","Signature","Done","20967114","File","tif","2026-09-23T06:40:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","3","file:/data/krp-0190_k/krp-0190_k-0003.TIF","/data/krp-0190_k/krp-0190_k-0003.TIF","krp-0190_k-0003.TIF","Signature","Done","20511144","File","tif","2026-09-23T06:40:22","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","3","file:/data/krp-0190_k/krp-0190_k-0004.TIF","/data/krp-0190_k/krp-0190_k-0004.TIF","krp-0190_k-0004.TIF","Signature","Done","21212124","File","tif","2026-09-23T06:40:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","3","file:/data/krp-0190_k/krp-0190_k-0005.TIF","/data/krp-0190_k/krp-0190_k-0005.TIF","krp-0190_k-0005.TIF","Signature","Done","20160808","File","tif","2026-09-23T06:40:28","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","9","file:/data/krp-0190_r/krp-0190_r-0001.TIF","/data/krp-0190_r/krp-0190_r-0001.TIF","krp-0190_r-0001.TIF","Signature","Done","17739214","File","tif","2026-09-23T06:40:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","9","file:/data/krp-0190_r/krp-0190_r-0002.TIF","/data/krp-0190_r/krp-0190_r-0002.TIF","krp-0190_r-0002.TIF","Signature","Done","17442120","File","tif","2026-09-23T06:40:33","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","1","file:/data/krp-0190_s/","/data/krp-0190_s","krp-0190_s","","Done","","Folder","","2026-09-21T11:32:25","false","",""
"17","9","file:/data/krp-0190_r/krp-0190_r-0003.TIF","/data/krp-0190_r/krp-0190_r-0003.TIF","krp-0190_r-0003.TIF","Signature","Done","17055780","File","tif","2026-09-23T06:40:36","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"18","16","file:/data/krp-0190_s/krp-0190_s01/","/data/krp-0190_s/krp-0190_s01","krp-0190_s01","","Done","","Folder","","2026-09-23T06:40:50","false","",""
"19","9","file:/data/krp-0190_r/krp-0190_r-0004.TIF","/data/krp-0190_r/krp-0190_r-0004.TIF","krp-0190_r-0004.TIF","Signature","Done","18028510","File","tif","2026-09-23T06:40:39","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"20","9","file:/data/krp-0190_r/krp-0190_r-0005.TIF","/data/krp-0190_r/krp-0190_r-0005.TIF","krp-0190_r-0005.TIF","Signature","Done","16934498","File","tif","2026-09-23T06:40:41","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"21","16","file:/data/krp-0190_s/krp-0190_s02/","/data/krp-0190_s/krp-0190_s02","krp-0190_s02","","Done","","Folder","","2026-09-23T06:40:55","false","",""
"22","9","file:/data/krp-0190_r/krp-0190_r-0006.TIF","/data/krp-0190_r/krp-0190_r-0006.TIF","krp-0190_r-0006.TIF","Signature","Done","17145306","File","tif","2026-09-23T06:40:44","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"23","1","file:/data/krp-0190_t/","/data/krp-0190_t","krp-0190_t","","Done","","Folder","","2026-09-23T06:41:01","false","",""
"24","18","file:/data/krp-0190_s/krp-0190_s01/krp-0190_s01-0001.TIF","/data/krp-0190_s/krp-0190_s01/krp-0190_s01-0001.TIF","krp-0190_s01-0001.TIF","Signature","Done","20933422","File","tif","2026-09-23T06:40:47","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"25","18","file:/data/krp-0190_s/krp-0190_s01/krp-0190_s01-0002.TIF","/data/krp-0190_s/krp-0190_s01/krp-0190_s01-0002.TIF","krp-0190_s01-0002.TIF","Signature","Done","18157834","File","tif","2026-09-23T06:40:50","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"26","21","file:/data/krp-0190_s/krp-0190_s02/krp-0190_s02-0001.TIF","/data/krp-0190_s/krp-0190_s02/krp-0190_s02-0001.TIF","krp-0190_s02-0001.TIF","Signature","Done","18400850","File","tif","2026-09-23T06:40:52","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"27","21","file:/data/krp-0190_s/krp-0190_s02/krp-0190_s02-0002.TIF","/data/krp-0190_s/krp-0190_s02/krp-0190_s02-0002.TIF","krp-0190_s02-0002.TIF","Signature","Done","16908518","File","tif","2026-09-23T06:40:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"28","23","file:/data/krp-0190_t/krp-0190_t-0001.TIF","/data/krp-0190_t/krp-0190_t-0001.TIF","krp-0190_t-0001.TIF","Signature","Done","16719076","File","tif","2026-09-23T06:40:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"29","23","file:/data/krp-0190_t/krp-0190_t-0002.TIF","/data/krp-0190_t/krp-0190_t-0002.TIF","krp-0190_t-0002.TIF","Signature","Done","18672026","File","tif","2026-09-23T06:41:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
