"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-18T09:46:59","false","",""
"2","1","file:/data/krp-0095_b/","/data/krp-0095_b","krp-0095_b","","Done","","Folder","","2026-08-18T09:46:58","false","",""
"3","2","file:/data/krp-0095_b/krp-0095_b01/","/data/krp-0095_b/krp-0095_b01","krp-0095_b01","","Done","","Folder","","2026-08-18T12:21:19","false","",""
"4","2","file:/data/krp-0095_b/krp-0095_b02/","/data/krp-0095_b/krp-0095_b02","krp-0095_b02","","Done","","Folder","","2026-08-18T12:21:22","false","",""
"5","2","file:/data/krp-0095_b/krp-0095_b03/","/data/krp-0095_b/krp-0095_b03","krp-0095_b03","","Done","","Folder","","2026-08-18T12:22:09","false","",""
"6","3","file:/data/krp-0095_b/krp-0095_b01/krp-0095_b01-0001.TIF","/data/krp-0095_b/krp-0095_b01/krp-0095_b01-0001.TIF","krp-0095_b01-0001.TIF","Signature","Done","19524588","File","tif","2026-08-18T12:21:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","4","file:/data/krp-0095_b/krp-0095_b02/krp-0095_b02-0001.TIF","/data/krp-0095_b/krp-0095_b02/krp-0095_b02-0001.TIF","krp-0095_b02-0001.TIF","Signature","Done","19013944","File","tif","2026-08-18T12:21:22","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0001.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0001.TIF","krp-0095_b03-0001.TIF","Signature","Done","23583830","File","tif","2026-08-18T12:21:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0002.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0002.TIF","krp-0095_b03-0002.TIF","Signature","Done","26039408","File","tif","2026-08-18T12:21:28","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0003.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0003.TIF","krp-0095_b03-0003.TIF","Signature","Done","24403636","File","tif","2026-08-18T12:21:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0004.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0004.TIF","krp-0095_b03-0004.TIF","Signature","Done","23563718","File","tif","2026-08-18T12:21:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0005.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0005.TIF","krp-0095_b03-0005.TIF","Signature","Done","24632288","File","tif","2026-08-18T12:21:38","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0006.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0006.TIF","krp-0095_b03-0006.TIF","Signature","Done","23432242","File","tif","2026-08-18T12:21:41","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0007.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0007.TIF","krp-0095_b03-0007.TIF","Signature","Done","24734704","File","tif","2026-08-18T12:21:45","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0008.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0008.TIF","krp-0095_b03-0008.TIF","Signature","Done","27201446","File","tif","2026-08-18T12:21:49","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","2","file:/data/krp-0095_b/krp-0095_b04/","/data/krp-0095_b/krp-0095_b04","krp-0095_b04","","Done","","Folder","","2026-08-18T12:22:12","false","",""
"17","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0009.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0009.TIF","krp-0095_b03-0009.TIF","Signature","Done","23517806","File","tif","2026-08-18T12:21:52","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"18","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0010.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0010.TIF","krp-0095_b03-0010.TIF","Signature","Done","23929008","File","tif","2026-08-18T12:21:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"19","1","file:/data/krp-0095_r/","/data/krp-0095_r","krp-0095_r","","Done","","Folder","","2026-08-18T12:23:48","false","",""
"20","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0011.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0011.TIF","krp-0095_b03-0011.TIF","Signature","Done","22714366","File","tif","2026-08-18T12:21:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"21","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0012.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0012.TIF","krp-0095_b03-0012.TIF","Signature","Done","25338080","File","tif","2026-08-18T12:22:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"22","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0013.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0013.TIF","krp-0095_b03-0013.TIF","Signature","Done","25763976","File","tif","2026-08-18T12:22:05","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"23","5","file:/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0014.TIF","/data/krp-0095_b/krp-0095_b03/krp-0095_b03-0014.TIF","krp-0095_b03-0014.TIF","Signature","Done","24180978","File","tif","2026-08-18T12:22:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"24","16","file:/data/krp-0095_b/krp-0095_b04/krp-0095_b04-0001.TIF","/data/krp-0095_b/krp-0095_b04/krp-0095_b04-0001.TIF","krp-0095_b04-0001.TIF","Signature","Done","25016538","File","tif","2026-08-18T12:22:12","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"25","19","file:/data/krp-0095_r/krp-0095_r-0001.TIF","/data/krp-0095_r/krp-0095_r-0001.TIF","krp-0095_r-0001.TIF","Signature","Done","19408660","File","tif","2026-08-18T12:22:16","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"26","19","file:/data/krp-0095_r/krp-0095_r-0002.TIF","/data/krp-0095_r/krp-0095_r-0002.TIF","krp-0095_r-0002.TIF","Signature","Done","18216680","File","tif","2026-08-18T12:22:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"27","19","file:/data/krp-0095_r/krp-0095_r-0003.TIF","/data/krp-0095_r/krp-0095_r-0003.TIF","krp-0095_r-0003.TIF","Signature","Done","17744236","File","tif","2026-08-18T12:22:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"28","19","file:/data/krp-0095_r/krp-0095_r-0004.TIF","/data/krp-0095_r/krp-0095_r-0004.TIF","krp-0095_r-0004.TIF","Signature","Done","17715424","File","tif","2026-08-18T12:22:24","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"29","19","file:/data/krp-0095_r/krp-0095_r-0005.TIF","/data/krp-0095_r/krp-0095_r-0005.TIF","krp-0095_r-0005.TIF","Signature","Done","18143460","File","tif","2026-08-18T12:22:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"30","19","file:/data/krp-0095_r/krp-0095_r-0006.TIF","/data/krp-0095_r/krp-0095_r-0006.TIF","krp-0095_r-0006.TIF","Signature","Done","17863918","File","tif","2026-08-18T12:22:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"31","19","file:/data/krp-0095_r/krp-0095_r-0007.TIF","/data/krp-0095_r/krp-0095_r-0007.TIF","krp-0095_r-0007.TIF","Signature","Done","18176748","File","tif","2026-08-18T12:22:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"32","19","file:/data/krp-0095_r/krp-0095_r-0008.TIF","/data/krp-0095_r/krp-0095_r-0008.TIF","krp-0095_r-0008.TIF","Signature","Done","18109332","File","tif","2026-08-18T12:22:35","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
