"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-18T09:28:57","false","",""
"2","1","file:/data/krp-0092_b/","/data/krp-0092_b","krp-0092_b","","Done","","Folder","","2026-08-18T09:27:49","false","",""
"3","2","file:/data/krp-0092_b/krp-0092_b01/","/data/krp-0092_b/krp-0092_b01","krp-0092_b01","","Done","","Folder","","2026-08-18T11:46:17","false","",""
"4","2","file:/data/krp-0092_b/krp-0092_b02/","/data/krp-0092_b/krp-0092_b02","krp-0092_b02","","Done","","Folder","","2026-08-18T11:46:43","false","",""
"5","3","file:/data/krp-0092_b/krp-0092_b01/krp-0092_b01-0001.TIF","/data/krp-0092_b/krp-0092_b01/krp-0092_b01-0001.TIF","krp-0092_b01-0001.TIF","Signature","Done","19321494","File","tif","2026-08-18T11:46:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","4","file:/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0001.TIF","/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0001.TIF","krp-0092_b02-0001.TIF","Signature","Done","19171192","File","tif","2026-08-18T11:46:20","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","4","file:/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0002.TIF","/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0002.TIF","krp-0092_b02-0002.TIF","Signature","Done","20641250","File","tif","2026-08-18T11:46:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","4","file:/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0003.TIF","/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0003.TIF","krp-0092_b02-0003.TIF","Signature","Done","20485364","File","tif","2026-08-18T11:46:26","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","4","file:/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0004.TIF","/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0004.TIF","krp-0092_b02-0004.TIF","Signature","Done","19966076","File","tif","2026-08-18T11:46:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","4","file:/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0005.TIF","/data/krp-0092_b/krp-0092_b02/krp-0092_b02-0005.TIF","krp-0092_b02-0005.TIF","Signature","Done","19936868","File","tif","2026-08-18T11:46:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","2","file:/data/krp-0092_b/krp-0092_b03/","/data/krp-0092_b/krp-0092_b03","krp-0092_b03","","Done","","Folder","","2026-08-18T11:46:50","false","",""
"12","2","file:/data/krp-0092_b/krp-0092_b04/","/data/krp-0092_b/krp-0092_b04","krp-0092_b04","","Done","","Folder","","2026-08-18T11:46:56","false","",""
