"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-13T09:49:03","false","",""
"2","1","file:/data/krp-0067_b/","/data/krp-0067_b","krp-0067_b","","Done","","Folder","","2026-08-13T11:17:41","false","",""
"3","1","file:/data/krp-0067_k/","/data/krp-0067_k","krp-0067_k","","Done","","Folder","","2026-08-13T11:17:50","false","",""
"4","1","file:/data/krp-0067_r/","/data/krp-0067_r","krp-0067_r","","Done","","Folder","","2026-08-13T11:17:58","false","",""
"5","2","file:/data/krp-0067_b/krp-0067_b01-0001.TIF","/data/krp-0067_b/krp-0067_b01-0001.TIF","krp-0067_b01-0001.TIF","Signature","Done","20813214","File","tif","2026-08-13T11:17:41","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","3","file:/data/krp-0067_k/krp-0067_k-0001.TIF","/data/krp-0067_k/krp-0067_k-0001.TIF","krp-0067_k-0001.TIF","Signature","Done","18443040","File","tif","2026-08-13T11:17:44","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","1","file:/data/krp-0067_s/","/data/krp-0067_s","krp-0067_s","","Done","","Folder","","2026-08-13T11:18:12","false","",""
"8","3","file:/data/krp-0067_k/krp-0067_k-0002.TIF","/data/krp-0067_k/krp-0067_k-0002.TIF","krp-0067_k-0002.TIF","Signature","Done","19749062","File","tif","2026-08-13T11:17:47","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","3","file:/data/krp-0067_k/krp-0067_k-0003.TIF","/data/krp-0067_k/krp-0067_k-0003.TIF","krp-0067_k-0003.TIF","Signature","Done","21410002","File","tif","2026-08-13T11:17:50","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","4","file:/data/krp-0067_r/krp-0067_r-0001.TIF","/data/krp-0067_r/krp-0067_r-0001.TIF","krp-0067_r-0001.TIF","Signature","Done","18709964","File","tif","2026-08-13T11:17:52","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","4","file:/data/krp-0067_r/krp-0067_r-0002.TIF","/data/krp-0067_r/krp-0067_r-0002.TIF","krp-0067_r-0002.TIF","Signature","Done","19612796","File","tif","2026-08-13T11:17:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","4","file:/data/krp-0067_r/krp-0067_r-0003.TIF","/data/krp-0067_r/krp-0067_r-0003.TIF","krp-0067_r-0003.TIF","Signature","Done","18416428","File","tif","2026-08-13T11:17:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","1","file:/data/krp-0067_t/","/data/krp-0067_t","krp-0067_t","","Done","","Folder","","2026-08-13T11:18:23","false","",""
"14","7","file:/data/krp-0067_s/krp-0067_s01-0002.TIF","/data/krp-0067_s/krp-0067_s01-0002.TIF","krp-0067_s01-0002.TIF","Signature","Done","18983858","File","tif","2026-08-13T11:18:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","7","file:/data/krp-0067_s/krp-0067_s01-0003.TIF","/data/krp-0067_s/krp-0067_s01-0003.TIF","krp-0067_s01-0003.TIF","Signature","Done","18391124","File","tif","2026-08-13T11:18:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","7","file:/data/krp-0067_s/krp-0067_s01-0004.TIF","/data/krp-0067_s/krp-0067_s01-0004.TIF","krp-0067_s01-0004.TIF","Signature","Done","18258268","File","tif","2026-08-13T11:18:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"17","7","file:/data/krp-0067_s/krp-0067_s01-0005.TIF","/data/krp-0067_s/krp-0067_s01-0005.TIF","krp-0067_s01-0005.TIF","Signature","Done","18218686","File","tif","2026-08-13T11:18:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"18","7","file:/data/krp-0067_s/krp-0067_s01-0006.TIF","/data/krp-0067_s/krp-0067_s01-0006.TIF","krp-0067_s01-0006.TIF","Signature","Done","17960548","File","tif","2026-08-13T11:18:12","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
