"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-18T08:10:54","false","",""
"2","1","file:/data/krp-0083_a/","/data/krp-0083_a","krp-0083_a","","Done","","Folder","","2026-08-18T08:09:48","false","",""
"3","2","file:/data/krp-0083_a/krp-0083_a01/","/data/krp-0083_a/krp-0083_a01","krp-0083_a01","","Done","","Folder","","2026-08-18T09:17:03","false","",""
"4","1","file:/data/krp-0083_b/","/data/krp-0083_b","krp-0083_b","","Done","","Folder","","2026-08-18T08:10:00","false","",""
"5","4","file:/data/krp-0083_b/krp-0083_b01/","/data/krp-0083_b/krp-0083_b01","krp-0083_b01","","Done","","Folder","","2026-08-18T09:17:07","false","",""
"6","4","file:/data/krp-0083_b/krp-0083_b02/","/data/krp-0083_b/krp-0083_b02","krp-0083_b02","","Done","","Folder","","2026-08-18T09:17:11","false","",""
"7","4","file:/data/krp-0083_b/krp-0083_b03/","/data/krp-0083_b/krp-0083_b03","krp-0083_b03","","Done","","Folder","","2026-08-18T09:17:23","false","",""
"8","4","file:/data/krp-0083_b/krp-0083_b04/","/data/krp-0083_b/krp-0083_b04","krp-0083_b04","","Done","","Folder","","2026-08-18T09:17:27","false","",""
"9","5","file:/data/krp-0083_b/krp-0083_b01/krp-0083_b01-0001.TIF","/data/krp-0083_b/krp-0083_b01/krp-0083_b01-0001.TIF","krp-0083_b01-0001.TIF","Signature","Done","20963850","File","tif","2026-08-18T09:17:07","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","3","file:/data/krp-0083_a/krp-0083_a01/krp-0083_a01-0001.TIF","/data/krp-0083_a/krp-0083_a01/krp-0083_a01-0001.TIF","krp-0083_a01-0001.TIF","Signature","Done","19957106","File","tif","2026-08-18T09:16:59","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","3","file:/data/krp-0083_a/krp-0083_a01/krp-0083_a01-0002.TIF","/data/krp-0083_a/krp-0083_a01/krp-0083_a01-0002.TIF","krp-0083_a01-0002.TIF","Signature","Done","20834060","File","tif","2026-08-18T09:17:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","4","file:/data/krp-0083_b/krp-0083_b05/","/data/krp-0083_b/krp-0083_b05","krp-0083_b05","","Done","","Folder","","2026-08-18T09:17:55","false","",""
"13","6","file:/data/krp-0083_b/krp-0083_b02/krp-0083_b02-0001.TIF","/data/krp-0083_b/krp-0083_b02/krp-0083_b02-0001.TIF","krp-0083_b02-0001.TIF","Signature","Done","20325236","File","tif","2026-08-18T09:17:11","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","7","file:/data/krp-0083_b/krp-0083_b03/krp-0083_b03-0001.TIF","/data/krp-0083_b/krp-0083_b03/krp-0083_b03-0001.TIF","krp-0083_b03-0001.TIF","Signature","Done","21096360","File","tif","2026-08-18T09:17:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
