"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-19T12:04:11","false","",""
"2","1","file:/data/krp-0125_a/","/data/krp-0125_a","krp-0125_a","","Done","","Folder","","2026-08-20T07:16:22","false","",""
"3","1","file:/data/krp-0125_b/","/data/krp-0125_b","krp-0125_b","","Done","","Folder","","2026-08-19T12:02:46","false","",""
"4","3","file:/data/krp-0125_b/krp-0125_b01/","/data/krp-0125_b/krp-0125_b01","krp-0125_b01","","Done","","Folder","","2026-08-20T07:17:28","false","",""
"5","2","file:/data/krp-0125_a/krp-0125_a01-0003.TIF","/data/krp-0125_a/krp-0125_a01-0003.TIF","krp-0125_a01-0003.TIF","Signature","Done","21534764","File","tif","2026-08-20T07:16:18","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","2","file:/data/krp-0125_a/krp-0125_a01-0001.TIF","/data/krp-0125_a/krp-0125_a01-0001.TIF","krp-0125_a01-0001.TIF","Signature","Done","21389148","File","tif","2026-08-20T07:16:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/krp-0125_a/krp-0125_a01-0002.TIF","/data/krp-0125_a/krp-0125_a01-0002.TIF","krp-0125_a01-0002.TIF","Signature","Done","22186266","File","tif","2026-08-20T07:16:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","2","file:/data/krp-0125_a/krp-0125_a01-0004.TIF","/data/krp-0125_a/krp-0125_a01-0004.TIF","krp-0125_a01-0004.TIF","Signature","Done","21393486","File","tif","2026-08-20T07:16:22","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","4","file:/data/krp-0125_b/krp-0125_b01/krp-0125_b01-0003.TIF","/data/krp-0125_b/krp-0125_b01/krp-0125_b01-0003.TIF","krp-0125_b01-0003.TIF","Signature","Done","18595040","File","tif","2026-08-20T07:16:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","4","file:/data/krp-0125_b/krp-0125_b01/krp-0125_b01-0002.TIF","/data/krp-0125_b/krp-0125_b01/krp-0125_b01-0002.TIF","krp-0125_b01-0002.TIF","Signature","Done","17271806","File","tif","2026-08-20T07:16:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
