"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-09-17T12:57:27","false","",""
"2","1","file:/data/krp-0169_a/","/data/krp-0169_a","krp-0169_a","","Done","","Folder","","2026-06-30T08:49:35","false","",""
"3","1","file:/data/krp-0169_b/","/data/krp-0169_b","krp-0169_b","","Done","","Folder","","2026-09-17T12:57:27","false","",""
"4","3","file:/data/krp-0169_b/krp-0169_b01/","/data/krp-0169_b/krp-0169_b01","krp-0169_b01","","Done","","Folder","","2026-09-17T12:57:27","false","",""
"5","1","file:/data/krp-0169.docx","/data/krp-0169.docx","krp-0169.docx","Container","Done","66649","File","docx","2026-06-24T12:17:14","false","","1","fmt/412","application/vnd.openxmlformats-officedocument.wordprocessingml.document","Microsoft Word for Windows","2007 onwards"
"6","2","file:/data/krp-0169_a/krp-0169_a01_0003.TIF","/data/krp-0169_a/krp-0169_a01_0003.TIF","krp-0169_a01_0003.TIF","Signature","Done","18661668","File","tif","2026-06-30T08:49:31","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/krp-0169_a/krp-0169_a01_0001.TIF","/data/krp-0169_a/krp-0169_a01_0001.TIF","krp-0169_a01_0001.TIF","Signature","Done","17627650","File","tif","2026-06-30T08:49:24","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","2","file:/data/krp-0169_a/krp-0169_a01_0002.TIF","/data/krp-0169_a/krp-0169_a01_0002.TIF","krp-0169_a01_0002.TIF","Signature","Done","17757204","File","tif","2026-06-30T08:49:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","4","file:/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0001.TIF","/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0001.TIF","krp-0169_b01-0001.TIF","Signature","Done","18469202","File","tif","2026-06-30T08:48:51","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/krp-0169_a/krp-0169_a01_0004.TIF","/data/krp-0169_a/krp-0169_a01_0004.TIF","krp-0169_a01_0004.TIF","Signature","Done","17550222","File","tif","2026-06-30T08:49:35","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","4","file:/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0002.TIF","/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0002.TIF","krp-0169_b01-0002.TIF","Signature","Done","18237112","File","tif","2026-06-30T08:48:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","4","file:/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0003.TIF","/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0003.TIF","krp-0169_b01-0003.TIF","Signature","Done","19809186","File","tif","2026-06-30T08:49:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","4","file:/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0005.TIF","/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0005.TIF","krp-0169_b01-0005.TIF","Signature","Done","19252162","File","tif","2026-06-30T08:49:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","4","file:/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0006.TIF","/data/krp-0169_b/krp-0169_b01/krp-0169_b01-0006.TIF","krp-0169_b01-0006.TIF","Signature","Done","19264520","File","tif","2026-06-30T08:49:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
