"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-09-16T13:48:10","false","",""
"2","1","file:/data/krp-0157_k/","/data/krp-0157_k","krp-0157_k","","Done","","Folder","","2026-09-17T11:29:59","false","",""
"3","1","file:/data/krp-0157_r/","/data/krp-0157_r","krp-0157_r","","Done","","Folder","","2026-09-17T11:30:18","false","",""
"4","2","file:/data/krp-0157_k/krp-0157_k-0001.TIF","/data/krp-0157_k/krp-0157_k-0001.TIF","krp-0157_k-0001.TIF","Signature","Done","22041258","File","tif","2026-09-17T11:29:40","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"5","2","file:/data/krp-0157_k/krp-0157_k-0002.TIF","/data/krp-0157_k/krp-0157_k-0002.TIF","krp-0157_k-0002.TIF","Signature","Done","24029986","File","tif","2026-09-17T11:29:43","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","2","file:/data/krp-0157_k/krp-0157_k-0003.TIF","/data/krp-0157_k/krp-0157_k-0003.TIF","krp-0157_k-0003.TIF","Signature","Done","22292672","File","tif","2026-09-17T11:29:46","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/krp-0157_k/krp-0157_k-0005.TIF","/data/krp-0157_k/krp-0157_k-0005.TIF","krp-0157_k-0005.TIF","Signature","Done","19628684","File","tif","2026-09-17T11:29:52","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","2","file:/data/krp-0157_k/krp-0157_k-0004.TIF","/data/krp-0157_k/krp-0157_k-0004.TIF","krp-0157_k-0004.TIF","Signature","Done","24564706","File","tif","2026-09-17T11:29:49","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","2","file:/data/krp-0157_k/krp-0157_k-0006.TIF","/data/krp-0157_k/krp-0157_k-0006.TIF","krp-0157_k-0006.TIF","Signature","Done","26907840","File","tif","2026-09-17T11:29:56","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/krp-0157_k/krp-0157_k-0007.TIF","/data/krp-0157_k/krp-0157_k-0007.TIF","krp-0157_k-0007.TIF","Signature","Done","26007854","File","tif","2026-09-17T11:29:59","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
