"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-18T07:54:03","false","",""
"2","1","file:/data/krp-0081_a/","/data/krp-0081_a","krp-0081_a","","Done","","Folder","","2026-08-18T08:32:45","false","",""
"3","1","file:/data/krp-0081_b/","/data/krp-0081_b","krp-0081_b","","Done","","Folder","","2026-08-18T07:52:16","false","",""
"4","3","file:/data/krp-0081_b/krp-0081_b01/","/data/krp-0081_b/krp-0081_b01","krp-0081_b01","","Done","","Folder","","2026-08-18T08:33:34","false","",""
"5","2","file:/data/krp-0081_a/krp-0081_a01-0003.TIF","/data/krp-0081_a/krp-0081_a01-0003.TIF","krp-0081_a01-0003.TIF","Signature","Done","20414904","File","tif","2026-08-18T08:32:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","2","file:/data/krp-0081_a/krp-0081_a01-0002.TIF","/data/krp-0081_a/krp-0081_a01-0002.TIF","krp-0081_a01-0002.TIF","Signature","Done","21588000","File","tif","2026-08-18T08:32:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/krp-0081_a/krp-0081_a01-0001.TIF","/data/krp-0081_a/krp-0081_a01-0001.TIF","krp-0081_a01-0001.TIF","Signature","Done","20074244","File","tif","2026-08-18T08:32:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","2","file:/data/krp-0081_a/krp-0081_a01-0004.TIF","/data/krp-0081_a/krp-0081_a01-0004.TIF","krp-0081_a01-0004.TIF","Signature","Done","21588240","File","tif","2026-08-18T08:32:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","2","file:/data/krp-0081_a/krp-0081_a01-0005.TIF","/data/krp-0081_a/krp-0081_a01-0005.TIF","krp-0081_a01-0005.TIF","Signature","Done","20374398","File","tif","2026-08-18T08:32:40","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/krp-0081_a/krp-0081_a01-0006.TIF","/data/krp-0081_a/krp-0081_a01-0006.TIF","krp-0081_a01-0006.TIF","Signature","Done","21114898","File","tif","2026-08-18T08:32:45","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","4","file:/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0001.TIF","/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0001.TIF","krp-0081_b01-0001.TIF","Signature","Done","15700244","File","tif","2026-08-18T08:32:51","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","4","file:/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0002.TIF","/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0002.TIF","krp-0081_b01-0002.TIF","Signature","Done","19749768","File","tif","2026-08-18T08:32:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","4","file:/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0003.TIF","/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0003.TIF","krp-0081_b01-0003.TIF","Signature","Done","18351482","File","tif","2026-08-18T08:33:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","3","file:/data/krp-0081_b/krp-0081_b02/","/data/krp-0081_b/krp-0081_b02","krp-0081_b02","","Done","","Folder","","2026-08-18T08:33:42","false","",""
"15","4","file:/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0004.TIF","/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0004.TIF","krp-0081_b01-0004.TIF","Signature","Done","18830234","File","tif","2026-08-18T08:33:08","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","4","file:/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0005.TIF","/data/krp-0081_b/krp-0081_b01/krp-0081_b01-0005.TIF","krp-0081_b01-0005.TIF","Signature","Done","18936468","File","tif","2026-08-18T08:33:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
