"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-08-12T13:21:44","false","",""
"2","1","file:/data/krp-0057_b/","/data/krp-0057_b","krp-0057_b","","Done","","Folder","","2026-08-12T13:21:09","false","",""
"3","2","file:/data/krp-0057_b/krp-0057_b01/","/data/krp-0057_b/krp-0057_b01","krp-0057_b01","","Done","","Folder","","2026-08-12T13:22:48","false","",""
"4","2","file:/data/krp-0057_b/krp-0057_b02/","/data/krp-0057_b/krp-0057_b02","krp-0057_b02","","Done","","Folder","","2026-08-12T13:23:12","false","",""
"5","3","file:/data/krp-0057_b/krp-0057_b01/krp-0057_b01-0001.TIF","/data/krp-0057_b/krp-0057_b01/krp-0057_b01-0001.TIF","krp-0057_b01-0001.TIF","Signature","Done","18769092","File","tif","2026-08-12T13:22:45","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","3","file:/data/krp-0057_b/krp-0057_b01/krp-0057_b01-0002.TIF","/data/krp-0057_b/krp-0057_b01/krp-0057_b01-0002.TIF","krp-0057_b01-0002.TIF","Signature","Done","18343040","File","tif","2026-08-12T13:22:48","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0001.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0001.TIF","krp-0057_b02-0001.TIF","Signature","Done","20776394","File","tif","2026-08-12T13:22:51","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0002.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0002.TIF","krp-0057_b02-0002.TIF","Signature","Done","21100572","File","tif","2026-08-12T13:22:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0003.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0003.TIF","krp-0057_b02-0003.TIF","Signature","Done","20306646","File","tif","2026-08-12T13:22:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/krp-0057_b/krp-0057_b03/","/data/krp-0057_b/krp-0057_b03","krp-0057_b03","","Done","","Folder","","2026-08-12T13:23:15","false","",""
"11","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0004.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0004.TIF","krp-0057_b02-0004.TIF","Signature","Done","20494130","File","tif","2026-08-12T13:23:00","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0005.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0005.TIF","krp-0057_b02-0005.TIF","Signature","Done","20586862","File","tif","2026-08-12T13:23:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","2","file:/data/krp-0057_b/krp-0057_b04/","/data/krp-0057_b/krp-0057_b04","krp-0057_b04","","Done","","Folder","","2026-08-12T13:23:27","false","",""
"14","4","file:/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0006.TIF","/data/krp-0057_b/krp-0057_b02/krp-0057_b02-0006.TIF","krp-0057_b02-0006.TIF","Signature","Done","20736450","File","tif","2026-08-12T13:23:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
