"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-09-21T09:54:56","false","",""
"2","1","file:/data/krp-0183_b/","/data/krp-0183_b","krp-0183_b","","Done","","Folder","","2026-09-21T09:52:20","false","",""
"3","2","file:/data/krp-0183_b/krp-0183_b01/","/data/krp-0183_b/krp-0183_b01","krp-0183_b01","","Done","","Folder","","2026-09-21T13:04:12","false","",""
"4","2","file:/data/krp-0183_b/krp-0183_b02/","/data/krp-0183_b/krp-0183_b02","krp-0183_b02","","Done","","Folder","","2026-09-21T13:04:18","false","",""
"5","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0002.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0002.TIF","krp-0183_b01-0002.TIF","Signature","Done","20226004","File","tif","2026-09-21T13:03:54","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0001.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0001.TIF","krp-0183_b01-0001.TIF","Signature","Done","16637748","File","tif","2026-09-21T13:03:51","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0003.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0003.TIF","krp-0183_b01-0003.TIF","Signature","Done","20419314","File","tif","2026-09-21T13:03:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","2","file:/data/krp-0183_b/krp-0183_b03/","/data/krp-0183_b/krp-0183_b03","krp-0183_b03","","Done","","Folder","","2026-09-21T13:04:21","false","",""
"9","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0004.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0004.TIF","krp-0183_b01-0004.TIF","Signature","Done","22625638","File","tif","2026-09-21T13:04:00","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/krp-0183_b/krp-0183_b04/","/data/krp-0183_b/krp-0183_b04","krp-0183_b04","","Done","","Folder","","2026-09-21T13:04:37","false","",""
"11","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0005.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0005.TIF","krp-0183_b01-0005.TIF","Signature","Done","22933960","File","tif","2026-09-21T13:04:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0007.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0007.TIF","krp-0183_b01-0007.TIF","Signature","Done","21711564","File","tif","2026-09-21T13:04:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0008.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0008.TIF","krp-0183_b01-0008.TIF","Signature","Done","17971320","File","tif","2026-09-21T13:04:12","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","3","file:/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0006.TIF","/data/krp-0183_b/krp-0183_b01/krp-0183_b01-0006.TIF","krp-0183_b01-0006.TIF","Signature","Done","22106782","File","tif","2026-09-21T13:04:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","4","file:/data/krp-0183_b/krp-0183_b02/krp-0183_b02-0001.TIF","/data/krp-0183_b/krp-0183_b02/krp-0183_b02-0001.TIF","krp-0183_b02-0001.TIF","Signature","Done","21553792","File","tif","2026-09-21T13:04:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","4","file:/data/krp-0183_b/krp-0183_b02/krp-0183_b02-0002.TIF","/data/krp-0183_b/krp-0183_b02/krp-0183_b02-0002.TIF","krp-0183_b02-0002.TIF","Signature","Done","20721572","File","tif","2026-09-21T13:04:18","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"17","8","file:/data/krp-0183_b/krp-0183_b03/krp-0183_b03-0001.TIF","/data/krp-0183_b/krp-0183_b03/krp-0183_b03-0001.TIF","krp-0183_b03-0001.TIF","Signature","Done","19321338","File","tif","2026-09-21T13:04:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"18","10","file:/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0001.TIF","/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0001.TIF","krp-0183_b04-0001.TIF","Signature","Done","25508072","File","tif","2026-09-21T13:04:24","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"19","2","file:/data/krp-0183_b/krp-0183_b05/","/data/krp-0183_b/krp-0183_b05","krp-0183_b05","","Done","","Folder","","2026-09-21T13:05:30","false","",""
"20","10","file:/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0002.TIF","/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0002.TIF","krp-0183_b04-0002.TIF","Signature","Done","26588028","File","tif","2026-09-21T13:04:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"21","10","file:/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0003.TIF","/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0003.TIF","krp-0183_b04-0003.TIF","Signature","Done","26369012","File","tif","2026-09-21T13:04:31","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"22","10","file:/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0004.TIF","/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0004.TIF","krp-0183_b04-0004.TIF","Signature","Done","24227098","File","tif","2026-09-21T13:04:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"23","10","file:/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0005.TIF","/data/krp-0183_b/krp-0183_b04/krp-0183_b04-0005.TIF","krp-0183_b04-0005.TIF","Signature","Done","25724156","File","tif","2026-09-21T13:04:37","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"24","19","file:/data/krp-0183_b/krp-0183_b05/krp-0183_b05-0001.TIF","/data/krp-0183_b/krp-0183_b05/krp-0183_b05-0001.TIF","krp-0183_b05-0001.TIF","Signature","Done","18927450","File","tif","2026-09-21T13:04:40","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"25","19","file:/data/krp-0183_b/krp-0183_b05/krp-0183_b05-0002.TIF","/data/krp-0183_b/krp-0183_b05/krp-0183_b05-0002.TIF","krp-0183_b05-0002.TIF","Signature","Done","18748396","File","tif","2026-09-21T13:04:43","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
